2.7244,0.0881,0.1291,14.3567,0.0678,
3.595,0.0444,0.1677,0.0774,0.1193,
0.0425,0.1065,11.0508,16.4302,0.075,
0.0424,0.0696,0.0581,0.0574,0.1764,
0.0399,0.0551,10.7732,0.0685,0.0895,
0.0521,0.0557,0.0607,0.053,0.1626,
0.0784,0.1237,0.0921,0.1005,0.1509,
0.0973,0.179,0.0927,15.2051,20.8138,
0.0449,6.8314,0.1493,0.0928,0.0842,
0.0528,0.0671,0.0574,0.0632,0.1807,
0.0613,0.0535,10.8553,14.2252,0.0734,
0.0676,6.3631,11.3297,0.0608,0.0658,
3.6726,0.0573,0.0634,0.0868,0.081,
2.8116,0.0598,0.1376,0.1009,21.151,
0.0642,0.0473,0.0829,0.0646,0.1485,
2.8045,0.1565,0.0679,14.7841,19.3984,
0.0714,0.0722,0.1716,0.1158,0.0855,
3.0185,0.0796,10.88,14.4984,18.9129,
3.0307,7.8937,0.0651,14.9245,0.0859,
0.0518,0.044,0.0565,0.1054,0.2017,
0.0494,0.1098,0.0769,14.1399,0.0695,
0.0982,0.1624,0.0554,0.0826,0.0918,
3.5017,0.06,0.1003,0.0565,0.241,
2.9762,0.0562,0.0819,0.1572,0.0818,
3.8908,0.0429,11.6339,0.0599,0.0856,
3.9769,0.0712,0.0611,0.0606,0.137,
0.0398,0.0455,11.5147,14.9794,18.7593,
0.0473,8.0858,9.8382,0.0986,20.6515,
2.9099,0.0642,10.86,0.1765,0.0813,
3.2465,6.1428,0.068,14.6589,0.1231,
3.5485,0.0608,0.0581,0.077,19.636,
3.3798,0.04,0.0775,0.0634,0.0908,
0.0401,0.051,0.0601,0.116,18.971,
2.8971,0.2056,0.0812,0.0579,0.063,
0.0475,0.0662,0.1926,0.0699,0.0654,
0.0863,0.1195,10.9558,0.0778,0.0891,
0.0963,0.101,0.1095,0.0666,20.2671,
0.0441,0.113,0.0772,0.1425,0.0623,
0.0607,0.0693,0.0618,0.1356,0.1395,
3.3401,7.0854,0.1035,0.0569,0.1578,
0.0602,0.0854,0.0623,0.063,0.0807,
0.0445,0.1497,0.0969,0.0753,0.1112,
0.1037,0.0625,0.0759,0.1888,0.1035,
2.7841,0.0655,0.0946,0.112,0.0628,
2.9809,7.8586,11.7992,0.1217,0.1023,
2.8813,0.0717,0.0578,0.1327,19.9438,
3.822,0.052,11.1651,0.143,19.6365,
0.042,6.8476,0.0562,0.092,0.0649,
0.0392,0.0451,0.059,0.1372,0.0994,
0.0453,0.0898,0.0624,0.1989,0.2407,
0.0598,7.9535,0.1297,0.1305,0.1246,
0.0654,0.073,11.2113,0.0901,0.0712,
0.0436,6.7347,0.0913,0.0563,0.0625,
0.0484,0.0529,0.075,0.0579,0.1611,
0.1007,0.0448,11.3967,14.8546,0.0778,
0.0378,7.6165,0.0702,15.7098,0.1466,
0.062,0.0779,0.0572,0.0608,0.1128,
0.0364,0.0667,0.089,0.1563,0.102,
0.0588,0.096,0.0555,0.1517,0.085,
0.0593,0.1131,10.9187,0.0716,0.1493,
0.0418,6.405,0.0783,0.0833,19.5182,
0.0609,0.0482,12.0152,14.9694,0.0625,
0.0385,0.0478,11.2936,0.0897,0.1641,
3.7385,6.4463,11.5601,0.1135,18.9558,
0.0397,0.0486,0.071,0.0716,0.1813,
0.0388,0.0679,11.902,0.147,0.0896,
3.1207,0.0967,0.0685,13.9545,0.1726,
0.0546,0.0485,0.0572,0.059,19.4386,
3.396,0.1814,0.0717,14.897,0.0649,
3.5928,0.0815,10.5587,0.1412,18.7898,
3.0747,8.2631,0.061,15.0818,0.1111,
3.2536,7.1742,0.0646,14.7639,0.0607,
0.0428,0.0547,11.3078,14.8204,0.0845,
3.8712,6.7361,0.0705,0.063,0.0678,
0.0564,7.5665,0.0965,0.0536,19.8658,
3.7626,6.796,0.0692,14.3948,0.1382,
0.0501,0.0472,0.1338,0.0632,0.1016,
2.8345,8.7074,0.0747,0.097,0.1617,
2.8008,0.0492,14.2508,0.0734,0.2847,
0.0924,0.0478,0.1245,0.0814,20.5951,
3.9872,0.1393,0.058,0.0616,18.9658,
0.091,7.339,0.0825,0.0693,18.5565,
2.756,0.0804,10.2857,15.8285,20.6563,
0.0656,8.8492,11.1258,0.0819,18.6124,
0.0475,0.0458,0.1655,0.0623,0.0675,
2.7992,0.0472,0.0529,0.0745,0.0866,
4.4008,0.0877,0.1046,0.0971,0.1468,
0.0476,7.3207,0.0784,15.0594,0.0953,
2.9848,7.6279,12.0185,0.13,0.0769,
2.9361,0.0513,0.076,0.1493,19.8349,
0.0709,8.2612,0.0769,0.1883,0.0925,
2.9773,0.0496,0.0759,15.3304,19.8765,
0.043,6.1556,0.0958,0.0598,19.0536,
0.0557,0.0706,0.0779,0.0589,0.1885,
0.0652,0.1568,0.0633,0.0603,0.1657,
3.1826,0.0712,0.0882,0.1555,0.0856,
2.9947,0.0663,0.0635,14.2112,0.1132,
0.0448,0.0791,0.0796,13.689,0.1121,
3.7293,6.5672,11.6405,0.057,0.1041,
0.0797,0.1437,0.0581,0.0649,0.1149,
